# top line  : fill_value    column number density n_column (molec/cm2)
# next lines: wavenumber nu (cm-1)    optical thickness tau_abs(nu)
13054.560  2.930538e-05
13054.570  2.918128e-05
13054.580  2.905959e-05
13054.590  2.894027e-05
13054.600  2.882326e-05
13054.610  2.870852e-05
13054.620  2.859599e-05
13054.630  2.848564e-05
13054.640  2.837743e-05
13054.650  2.827130e-05
13054.660  2.816724e-05
13054.670  2.806519e-05
13054.680  2.796513e-05
13054.690  2.786702e-05
13054.700  2.777083e-05
13054.710  2.767652e-05
13054.720  2.758408e-05
13054.730  2.749347e-05
13054.740  2.740466e-05
13054.750  2.731764e-05
13054.760  2.723237e-05
13054.770  2.714883e-05
13054.780  2.706700e-05
13054.790  2.698686e-05
13054.800  2.690838e-05
13054.810  2.683156e-05
13054.820  2.675637e-05
13054.830  2.668280e-05
13054.840  2.661082e-05
13054.850  2.654043e-05
13054.860  2.647161e-05
13054.870  2.640435e-05
13054.880  2.633864e-05
13054.890  2.627447e-05
13054.900  2.621182e-05
13054.910  2.615070e-05
13054.920  2.609109e-05
13054.930  2.603299e-05
13054.940  2.597640e-05
13054.950  2.592132e-05
13054.960  2.586774e-05
13054.970  2.581567e-05
13054.980  2.576511e-05
13054.990  2.571607e-05
13055.000  2.566855e-05
13055.010  2.562257e-05
13055.020  2.557815e-05
13055.030  2.553530e-05
13055.040  2.549404e-05
13055.050  2.545439e-05
13055.060  2.541639e-05
13055.070  2.538008e-05
13055.080  2.534549e-05
13055.090  2.531267e-05
13055.100  2.528168e-05
13055.110  2.525259e-05
13055.120  2.522547e-05
13055.130  2.520040e-05
13055.140  2.517749e-05
13055.150  2.515686e-05
13055.160  2.513865e-05
13055.170  2.512302e-05
13055.180  2.511015e-05
13055.190  2.510027e-05
13055.200  2.509363e-05
13055.210  2.509056e-05
13055.220  2.509142e-05
13055.230  2.509664e-05
13055.240  2.510676e-05
13055.250  2.512241e-05
13055.260  2.514438e-05
13055.270  2.517361e-05
13055.280  2.521133e-05
13055.290  2.525893e-05
13055.300  2.531828e-05
13055.310  2.539170e-05
13055.320  2.548219e-05
13055.330  2.559360e-05
13055.340  2.573098e-05
13055.350  2.590102e-05
13055.360  2.611269e-05
13055.370  2.637812e-05
13055.380  2.671396e-05
13055.390  2.714310e-05
13055.400  2.769710e-05
13055.410  2.841866e-05
13055.420  2.936286e-05
13055.430  3.059240e-05
13055.440  3.215745e-05
13055.450  3.404372e-05
13055.460  3.609043e-05
13055.470  3.792794e-05
13055.480  3.904972e-05
13055.490  3.906731e-05
13055.500  3.797363e-05
13055.510  3.614817e-05
13055.520  3.409841e-05
13055.530  3.220055e-05
13055.540  3.062151e-05
13055.550  2.937893e-05
13055.560  2.842370e-05
13055.570  2.769309e-05
13055.580  2.713165e-05
13055.590  2.669628e-05
13055.600  2.635513e-05
13055.610  2.608505e-05
13055.620  2.586924e-05
13055.630  2.569544e-05
13055.640  2.555476e-05
13055.650  2.544016e-05
13055.660  2.534669e-05
13055.670  2.527048e-05
13055.680  2.520851e-05
13055.690  2.515846e-05
13055.700  2.511842e-05
13055.710  2.508700e-05
13055.720  2.506305e-05
13055.730  2.504558e-05
13055.740  2.503382e-05
13055.750  2.502714e-05
13055.760  2.502502e-05
13055.770  2.502705e-05
13055.780  2.503285e-05
13055.790  2.504215e-05
13055.800  2.505471e-05
13055.810  2.507032e-05
13055.820  2.508882e-05
13055.830  2.511007e-05
13055.840  2.513398e-05
13055.850  2.516045e-05
13055.860  2.518942e-05
13055.870  2.522083e-05
13055.880  2.525545e-05
13055.890  2.529169e-05
13055.900  2.533034e-05
13055.910  2.537140e-05
13055.920  2.541489e-05
13055.930  2.546086e-05
13055.940  2.550936e-05
13055.950  2.556044e-05
13055.960  2.561418e-05
13055.970  2.567068e-05
13055.980  2.573004e-05
13055.990  2.579239e-05
13056.000  2.585786e-05
13056.010  2.592662e-05
13056.020  2.599885e-05
13056.030  2.607476e-05
13056.040  2.615459e-05
13056.050  2.623861e-05
13056.060  2.632711e-05
13056.070  2.642046e-05
13056.080  2.651903e-05
13056.090  2.662329e-05
13056.100  2.673373e-05
13056.110  2.685096e-05
13056.120  2.697564e-05
13056.130  2.710856e-05
13056.140  2.725061e-05
13056.150  2.740284e-05
13056.160  2.756648e-05
13056.170  2.774294e-05
13056.180  2.793392e-05
13056.190  2.814140e-05
13056.200  2.836776e-05
13056.210  2.861583e-05
13056.220  2.888904e-05
13056.230  2.919151e-05
13056.240  2.952833e-05
13056.250  2.990572e-05
13056.260  3.033180e-05
13056.270  3.081560e-05
13056.280  3.136970e-05
13056.290  3.200972e-05
13056.300  3.275589e-05
13056.310  3.363457e-05
13056.320  3.468062e-05
13056.330  3.594060e-05
13056.340  3.747751e-05
13056.350  3.937746e-05
13056.360  4.175899e-05
13056.370  4.478550e-05
13056.380  4.867938e-05
13056.390  5.373136e-05
13056.400  6.024206e-05
13056.410  6.860052e-05
13056.420  7.878393e-05
13056.430  9.009039e-05
13056.440  1.006866e-04
13056.450  1.078240e-04
13056.460  1.091115e-04
13056.470  1.040980e-04
13056.480  9.460738e-05
13056.490  8.345230e-05
13056.500  7.288449e-05
13056.510  6.399314e-05
13056.520  5.696829e-05
13056.530  5.156978e-05
13056.540  4.745256e-05
13056.550  4.430230e-05
13056.560  4.187175e-05
13056.570  3.997740e-05
13056.580  3.848573e-05
13056.590  3.729994e-05
13056.600  3.634941e-05
13056.610  3.558217e-05
13056.620  3.495950e-05
13056.630  3.445223e-05
13056.640  3.403812e-05
13056.650  3.370001e-05
13056.660  3.342452e-05
13056.670  3.320086e-05
13056.680  3.302120e-05
13056.690  3.287850e-05
13056.700  3.276731e-05
13056.710  3.268320e-05
13056.720  3.262253e-05
13056.730  3.258227e-05
13056.740  3.255992e-05
13056.750  3.255337e-05
13056.760  3.256085e-05
13056.770  3.258088e-05
13056.780  3.261217e-05
13056.790  3.265364e-05
13056.800  3.270437e-05
13056.810  3.276354e-05
13056.820  3.283046e-05
13056.830  3.290455e-05
13056.840  3.298528e-05
13056.850  3.307219e-05
13056.860  3.316489e-05
13056.870  3.326304e-05
13056.880  3.336634e-05
13056.890  3.347451e-05
13056.900  3.358734e-05
13056.910  3.370460e-05
13056.920  3.382613e-05
13056.930  3.395177e-05
13056.940  3.408138e-05
13056.950  3.421484e-05
13056.960  3.435205e-05
13056.970  3.449290e-05
13056.980  3.463733e-05
13056.990  3.478527e-05
13057.000  3.493664e-05
13057.010  3.509142e-05
13057.020  3.524954e-05
13057.030  3.541099e-05
13057.040  3.557572e-05
13057.050  3.574372e-05
13057.060  3.591497e-05
13057.070  3.608947e-05
13057.080  3.626718e-05
13057.090  3.644815e-05
13057.100  3.663234e-05
13057.110  3.681978e-05
13057.120  3.701046e-05
13057.130  3.720441e-05
13057.140  3.740164e-05
13057.150  3.760217e-05
13057.160  3.780602e-05
13057.170  3.801321e-05
13057.180  3.822378e-05
13057.190  3.843776e-05
13057.200  3.865518e-05
13057.210  3.887607e-05
13057.220  3.910047e-05
13057.230  3.932843e-05
13057.240  3.955999e-05
13057.250  3.979518e-05
13057.260  4.003407e-05
13057.270  4.027670e-05
13057.280  4.052312e-05
13057.290  4.077338e-05
13057.300  4.102755e-05
13057.310  4.128569e-05
13057.320  4.154784e-05
13057.330  4.181409e-05
13057.340  4.208450e-05
13057.350  4.235913e-05
13057.360  4.263806e-05
13057.370  4.292136e-05
13057.380  4.320911e-05
13057.390  4.350139e-05
13057.400  4.379828e-05
13057.410  4.409987e-05
13057.420  4.440625e-05
13057.430  4.471751e-05
13057.440  4.503375e-05
13057.450  4.535506e-05
13057.460  4.568155e-05
13057.470  4.601333e-05
13057.480  4.635050e-05
13057.490  4.669319e-05
13057.500  4.704151e-05
13057.510  4.739558e-05
13057.520  4.775554e-05
13057.530  4.812153e-05
13057.540  4.849367e-05
13057.550  4.887213e-05
13057.560  4.925705e-05
13057.570  4.964859e-05
13057.580  5.004692e-05
13057.590  5.045222e-05
13057.600  5.086484e-05
13057.610  5.128465e-05
13057.620  5.171201e-05
13057.630  5.214714e-05
13057.640  5.259028e-05
13057.650  5.304167e-05
13057.660  5.350157e-05
13057.670  5.397026e-05
13057.680  5.444804e-05
13057.690  5.493522e-05
13057.700  5.543217e-05
13057.710  5.593925e-05
13057.720  5.645688e-05
13057.730  5.698550e-05
13057.740  5.752561e-05
13057.750  5.807776e-05
13057.760  5.864256e-05
13057.770  5.922069e-05
13057.780  5.981362e-05
13057.790  6.042085e-05
13057.800  6.104408e-05
13057.810  6.168447e-05
13057.820  6.234340e-05
13057.830  6.302247e-05
13057.840  6.372369e-05
13057.850  6.444924e-05
13057.860  6.520200e-05
13057.870  6.598545e-05
13057.880  6.680395e-05
13057.890  6.766301e-05
13057.900  6.856968e-05
13057.910  6.953314e-05
13057.920  7.056549e-05
13057.930  7.168288e-05
13057.940  7.290711e-05
13057.950  7.426780e-05
13057.960  7.580516e-05
13057.970  7.757294e-05
13057.980  7.963947e-05
13057.990  8.208147e-05
13058.000  8.495937e-05
13058.010  8.825572e-05
13058.020  9.177873e-05
13058.030  9.508790e-05
13058.040  9.757289e-05
13058.050  9.874827e-05
13058.060  9.857359e-05
13058.070  9.748491e-05
13058.080  9.610380e-05
13058.090  9.491803e-05
13058.100  9.416621e-05
13058.110  9.389765e-05
13058.120  9.407014e-05
13058.130  9.462136e-05
13058.140  9.549786e-05
13058.150  9.666486e-05
13058.160  9.810745e-05
13058.170  9.983005e-05
13058.180  1.018568e-04
13058.190  1.042339e-04
13058.200  1.069954e-04
13058.210  1.103276e-04
13058.220  1.143455e-04
13058.230  1.192619e-04
13058.240  1.253556e-04
13058.250  1.329501e-04
13058.260  1.423168e-04
13058.270  1.534184e-04
13058.280  1.654840e-04
13058.290  1.766554e-04
13058.300  1.842981e-04
13058.310  1.862980e-04
13058.320  1.824928e-04
13058.330  1.747930e-04
13058.340  1.658582e-04
13058.350  1.576989e-04
13058.360  1.512265e-04
13058.370  1.465541e-04
13058.380  1.434337e-04
13058.390  1.415403e-04
13058.400  1.405855e-04
13058.410  1.403450e-04
13058.420  1.406536e-04
13058.430  1.413920e-04
13058.440  1.424743e-04
13058.450  1.438384e-04
13058.460  1.454396e-04
13058.470  1.472451e-04
13058.480  1.492311e-04
13058.490  1.513801e-04
13058.500  1.536797e-04
13058.510  1.561208e-04
13058.520  1.586971e-04
13058.530  1.614050e-04
13058.540  1.642420e-04
13058.550  1.672072e-04
13058.560  1.703010e-04
13058.570  1.735245e-04
13058.580  1.768800e-04
13058.590  1.803702e-04
