# top line  : fill_value    column number density n_column (molec/cm2)
# next lines: wavenumber nu (cm-1)    optical thickness tau_abs(nu)
13010.700  4.951457e-03
13010.710  5.999915e-03
13010.720  7.412483e-03
13010.730  9.369479e-03
13010.740  1.216368e-02
13010.750  1.626879e-02
13010.760  2.239251e-02
13010.770  3.133088e-02
13010.780  4.319689e-02
13010.790  5.590706e-02
13010.800  6.460130e-02
13010.810  6.459466e-02
13010.820  5.589113e-02
13010.830  4.317939e-02
13010.840  3.131679e-02
13010.850  2.238280e-02
13010.860  1.626252e-02
13010.870  1.215970e-02
13010.880  9.366926e-03
13010.890  7.410789e-03
13010.900  5.998689e-03
13010.910  4.950399e-03
13010.920  4.152779e-03
13010.930  3.532752e-03
13010.940  3.041732e-03
13010.950  2.646528e-03
13010.960  2.323897e-03
13010.970  2.057197e-03
13010.980  1.834275e-03
13010.990  1.646092e-03
13011.000  1.485821e-03
13011.010  1.348228e-03
13011.020  1.229247e-03
13011.030  1.125681e-03
13011.040  1.034928e-03
13011.050  9.550919e-04
13011.060  8.844407e-04
13011.070  8.216266e-04
13011.080  7.655405e-04
13011.090  7.152624e-04
13011.100  6.700246e-04
13011.110  6.291821e-04
13011.120  5.921900e-04
13011.130  5.585853e-04
13011.140  5.279727e-04
13011.150  5.000132e-04
13011.160  4.744145e-04
13011.170  4.509236e-04
13011.180  4.293208e-04
13011.190  4.094143e-04
13011.200  3.910363e-04
13011.210  3.740394e-04
13011.220  3.582938e-04
13011.230  3.436846e-04
13011.240  3.301100e-04
13011.250  3.174796e-04
13011.260  3.057129e-04
13011.270  2.947359e-04
13011.280  2.844879e-04
13011.290  2.749091e-04
13011.300  2.659476e-04
13011.310  2.575565e-04
13011.320  2.496933e-04
13011.330  2.423199e-04
13011.340  2.354015e-04
13011.350  2.289067e-04
13011.360  2.228068e-04
13011.370  2.170760e-04
13011.380  2.116904e-04
13011.390  2.066285e-04
13011.400  2.018705e-04
13011.410  1.973986e-04
13011.420  1.931962e-04
13011.430  1.892484e-04
13011.440  1.855415e-04
13011.450  1.820629e-04
13011.460  1.788014e-04
13011.470  1.757467e-04
13011.480  1.728893e-04
13011.490  1.702210e-04
13011.500  1.677343e-04
13011.510  1.654227e-04
13011.520  1.632808e-04
13011.530  1.613041e-04
13011.540  1.594895e-04
13011.550  1.578350e-04
13011.560  1.563407e-04
13011.570  1.550089e-04
13011.580  1.538456e-04
13011.590  1.528614e-04
13011.600  1.520748e-04
13011.610  1.515169e-04
13011.620  1.512397e-04
13011.630  1.513313e-04
13011.640  1.519403e-04
13011.650  1.533028e-04
13011.660  1.557173e-04
13011.670  1.593099e-04
13011.680  1.634786e-04
13011.690  1.665518e-04
13011.700  1.667583e-04
13011.710  1.639883e-04
13011.720  1.599165e-04
13011.730  1.562969e-04
13011.740  1.538393e-04
13011.750  1.524624e-04
13011.760  1.518695e-04
13011.770  1.518152e-04
13011.780  1.521434e-04
13011.790  1.527614e-04
13011.800  1.536146e-04
13011.810  1.546705e-04
13011.820  1.559100e-04
13011.830  1.573219e-04
13011.840  1.589006e-04
13011.850  1.606435e-04
13011.860  1.625510e-04
13011.870  1.646251e-04
13011.880  1.668693e-04
13011.890  1.692886e-04
13011.900  1.718888e-04
13011.910  1.746768e-04
13011.920  1.776608e-04
13011.930  1.808496e-04
13011.940  1.842533e-04
13011.950  1.878828e-04
13011.960  1.917504e-04
13011.970  1.958694e-04
13011.980  2.002545e-04
13011.990  2.049218e-04
13012.000  2.098889e-04
13012.010  2.151753e-04
13012.020  2.208020e-04
13012.030  2.267923e-04
13012.040  2.331719e-04
13012.050  2.399687e-04
13012.060  2.472138e-04
13012.070  2.549411e-04
13012.080  2.631883e-04
13012.090  2.719970e-04
13012.100  2.814133e-04
13012.110  2.914884e-04
13012.120  3.022790e-04
13012.130  3.138485e-04
13012.140  3.262678e-04
13012.150  3.396159e-04
13012.160  3.539818e-04
13012.170  3.694654e-04
13012.180  3.861795e-04
13012.190  4.042517e-04
13012.200  4.238267e-04
13012.210  4.450694e-04
13012.220  4.681679e-04
13012.230  4.933381e-04
13012.240  5.208282e-04
13012.250  5.509251e-04
13012.260  5.839615e-04
13012.270  6.203251e-04
13012.280  6.604700e-04
13012.290  7.049305e-04
13012.300  7.543388e-04
13012.310  8.094474e-04
13012.320  8.711574e-04
13012.330  9.405550e-04
13012.340  1.018959e-03
13012.350  1.108066e-03
13012.360  1.209727e-03
13012.370  1.326488e-03
13012.380  1.461471e-03
13012.390  1.618644e-03
13012.400  1.803110e-03
13012.410  2.021523e-03
13012.420  2.282677e-03
13012.430  2.598383e-03
13012.440  2.984787e-03
13012.450  3.464396e-03
13012.460  4.069271e-03
13012.470  4.846199e-03
13012.480  5.865278e-03
13012.490  7.234471e-03
13012.500  9.124548e-03
13012.510  1.181005e-02
13012.520  1.572930e-02
13012.530  2.152506e-02
13012.540  2.990010e-02
13012.550  4.091725e-02
13012.560  5.266588e-02
13012.570  6.076707e-02
13012.580  6.096818e-02
13012.590  5.315189e-02
13012.600  4.145953e-02
13012.610  3.034712e-02
13012.620  2.184350e-02
13012.630  1.594427e-02
13012.640  1.195478e-02
13012.650  9.223809e-03
13012.660  7.304122e-03
13012.670  5.915165e-03
13012.680  4.882478e-03
13012.690  4.095882e-03
13012.700  3.483937e-03
13012.710  2.999013e-03
13012.720  2.608512e-03
13012.730  2.289572e-03
13012.740  2.025810e-03
13012.750  1.805249e-03
13012.760  1.618980e-03
13012.770  1.460267e-03
13012.780  1.323946e-03
13012.790  1.206003e-03
13012.800  1.103283e-03
13012.810  1.013215e-03
13012.820  9.339277e-04
13012.830  8.637098e-04
13012.840  8.012299e-04
13012.850  7.453922e-04
13012.860  6.952880e-04
13012.870  6.501587e-04
13012.880  6.093670e-04
13012.890  5.723746e-04
13012.900  5.387243e-04
13012.910  5.080260e-04
13012.920  4.799452e-04
13012.930  4.541943e-04
13012.940  4.305252e-04
13012.950  4.087240e-04
13012.960  3.886070e-04
13012.970  3.700173e-04
13012.980  3.528216e-04
13012.990  3.368991e-04
13013.000  3.221178e-04
13013.010  3.083142e-04
13013.020  2.953193e-04
13013.030  2.830320e-04
13013.040  2.714402e-04
13013.050  2.605584e-04
13013.060  2.503686e-04
13013.070  2.408203e-04
13013.080  2.318548e-04
13013.090  2.234187e-04
13013.100  2.154662e-04
13013.110  2.079581e-04
13013.120  2.008600e-04
13013.130  1.941415e-04
13013.140  1.877752e-04
13013.150  1.817365e-04
13013.160  1.760029e-04
13013.170  1.705539e-04
13013.180  1.653709e-04
13013.190  1.604366e-04
13013.200  1.557352e-04
13013.210  1.512522e-04
13013.220  1.469743e-04
13013.230  1.428890e-04
13013.240  1.389848e-04
13013.250  1.352513e-04
13013.260  1.316786e-04
13013.270  1.282575e-04
13013.280  1.249795e-04
13013.290  1.218369e-04
13013.300  1.188223e-04
13013.310  1.159287e-04
13013.320  1.131499e-04
13013.330  1.104799e-04
13013.340  1.079131e-04
13013.350  1.054443e-04
13013.360  1.030686e-04
13013.370  1.007815e-04
13013.380  9.857875e-05
13013.390  9.645626e-05
13013.400  9.441030e-05
13013.410  9.243734e-05
13013.420  9.053407e-05
13013.430  8.869737e-05
13013.440  8.692432e-05
13013.450  8.521299e-05
13013.460  8.355917e-05
13013.470  8.196126e-05
13013.480  8.041536e-05
13013.490  7.892258e-05
13013.500  7.747931e-05
13013.510  7.608367e-05
13013.520  7.473393e-05
13013.530  7.342848e-05
13013.540  7.216580e-05
13013.550  7.094451e-05
13013.560  6.976335e-05
13013.570  6.862116e-05
13013.580  6.751691e-05
13013.590  6.644970e-05
13013.600  6.541875e-05
13013.610  6.442342e-05
13013.620  6.346321e-05
13013.630  6.253783e-05
13013.640  6.164712e-05
13013.650  6.079117e-05
13013.660  5.997032e-05
13013.670  5.918518e-05
13013.680  5.843676e-05
13013.690  5.772646e-05
13013.700  5.705624e-05
13013.710  5.642890e-05
13013.720  5.584765e-05
13013.730  5.529952e-05
13013.740  5.482604e-05
13013.750  5.441751e-05
13013.760  5.408463e-05
13013.770  5.384176e-05
13013.780  5.370842e-05
13013.790  5.371153e-05
13013.800  5.388888e-05
13013.810  5.429464e-05
13013.820  5.500837e-05
13013.830  5.615004e-05
13013.840  5.790624e-05
13013.850  6.057651e-05
13013.860  6.465587e-05
13013.870  7.096917e-05
13013.880  8.084287e-05
13013.890  9.603145e-05
13013.900  1.175549e-04
13013.910  1.425670e-04
13013.920  1.618007e-04
13013.930  1.643178e-04
13013.940  1.482046e-04
13013.950  1.227441e-04
13013.960  9.865370e-05
13013.970  8.063067e-05
13013.980  6.840582e-05
13013.990  6.023807e-05
13014.000  5.463961e-05
13014.010  5.065007e-05
13014.020  4.769241e-05
13014.030  4.541891e-05
13014.040  4.361480e-05
13014.050  4.214305e-05
13014.060  4.091346e-05
13014.070  3.986492e-05
13014.080  3.895491e-05
13014.090  3.815325e-05
13014.100  3.743807e-05
13014.110  3.679330e-05
13014.120  3.620702e-05
13014.130  3.567034e-05
13014.140  3.517672e-05
13014.150  3.472134e-05
13014.160  3.430141e-05
13014.170  3.391520e-05
13014.180  3.356272e-05
13014.190  3.324594e-05
13014.200  3.296928e-05
13014.210  3.274076e-05
13014.220  3.257348e-05
13014.230  3.248757e-05
13014.240  3.251066e-05
13014.250  3.267188e-05
13014.260  3.297694e-05
13014.270  3.336001e-05
13014.280  3.364708e-05
13014.290  3.361315e-05
13014.300  3.314247e-05
13014.310  3.233104e-05
13014.320  3.140009e-05
13014.330  3.053230e-05
13014.340  2.980228e-05
13014.350  2.920779e-05
13014.360  2.871945e-05
13014.370  2.830761e-05
13014.380  2.794999e-05
13014.390  2.763124e-05
13014.400  2.734104e-05
13014.410  2.707243e-05
13014.420  2.682065e-05
13014.430  2.658236e-05
13014.440  2.635516e-05
13014.450  2.613730e-05
13014.460  2.592749e-05
13014.470  2.572472e-05
13014.480  2.552822e-05
13014.490  2.533738e-05
13014.500  2.515172e-05
13014.510  2.497083e-05
13014.520  2.479438e-05
13014.530  2.462212e-05
13014.540  2.445380e-05
13014.550  2.428922e-05
13014.560  2.412821e-05
13014.570  2.397063e-05
13014.580  2.381634e-05
13014.590  2.366524e-05
13014.600  2.351721e-05
13014.610  2.337218e-05
13014.620  2.323005e-05
13014.630  2.309077e-05
13014.640  2.295426e-05
13014.650  2.282047e-05
13014.660  2.268936e-05
13014.670  2.256088e-05
13014.680  2.243499e-05
13014.690  2.231167e-05
13014.700  2.219089e-05
13014.710  2.207263e-05
13014.720  2.195689e-05
13014.730  2.184365e-05
13014.740  2.173293e-05
13014.750  2.162472e-05
13014.760  2.151905e-05
13014.770  2.141595e-05
13014.780  2.131546e-05
13014.790  2.121763e-05
13014.800  2.112251e-05
13014.810  2.103020e-05
13014.820  2.094079e-05
13014.830  2.085439e-05
13014.840  2.077116e-05
13014.850  2.069128e-05
13014.860  2.061494e-05
13014.870  2.054241e-05
13014.880  2.047401e-05
13014.890  2.041009e-05
13014.900  2.035133e-05
13014.910  2.029788e-05
13014.920  2.025062e-05
13014.930  2.021047e-05
13014.940  2.017839e-05
13014.950  2.015577e-05
13014.960  2.014432e-05
13014.970  2.014621e-05
13014.980  2.016431e-05
13014.990  2.020236e-05
13015.000  2.026539e-05
13015.010  2.036027e-05
13015.020  2.049650e-05
13015.030  2.068757e-05
13015.040  2.095306e-05
13015.050  2.132217e-05
13015.060  2.183968e-05
13015.070  2.257632e-05
13015.080  2.364657e-05
13015.090  2.523637e-05
13015.100  2.763613e-05
13015.110  3.122005e-05
13015.120  3.620943e-05
13015.130  4.204692e-05
13015.140  4.683050e-05
13015.150  4.811471e-05
13015.160  4.509859e-05
13015.170  3.948600e-05
13015.180  3.372914e-05
13015.190  2.918588e-05
13015.200  2.601033e-05
13015.210  2.386812e-05
13015.220  2.240752e-05
13015.230  2.138235e-05
13015.240  2.063914e-05
13015.250  2.008363e-05
13015.260  1.965788e-05
13015.270  1.932285e-05
13015.280  1.905457e-05
13015.290  1.883636e-05
13015.300  1.865668e-05
13015.310  1.850738e-05
13015.320  1.838263e-05
13015.330  1.827820e-05
13015.340  1.819101e-05
13015.350  1.811882e-05
13015.360  1.806002e-05
13015.370  1.801350e-05
13015.380  1.797851e-05
13015.390  1.795472e-05
13015.400  1.794201e-05
13015.410  1.794056e-05
13015.420  1.795080e-05
13015.430  1.797348e-05
13015.440  1.800961e-05
13015.450  1.806057e-05
13015.460  1.811099e-05
13015.470  1.819744e-05
13015.480  1.830579e-05
13015.490  1.843942e-05
13015.500  1.860310e-05
13015.510  1.880082e-05
13015.520  1.904409e-05
13015.530  1.934098e-05
13015.540  1.970465e-05
13015.550  2.015276e-05
13015.560  2.070938e-05
13015.570  2.140790e-05
13015.580  2.229571e-05
13015.590  2.344163e-05
13015.600  2.494848e-05
13015.610  2.697442e-05
13015.620  2.977082e-05
13015.630  3.374972e-05
13015.640  3.959799e-05
13015.650  4.844221e-05
13015.660  6.190005e-05
13015.670  8.138477e-05
13015.680  1.056144e-04
13015.690  1.273979e-04
13015.700  1.356499e-04
13015.710  1.251678e-04
13015.720  1.024326e-04
13015.730  7.847734e-05
13015.740  5.969683e-05
13015.750  4.684393e-05
13015.760  3.838894e-05
13015.770  3.276228e-05
13015.780  2.889997e-05
13015.790  2.615708e-05
13015.800  2.414642e-05
13015.810  2.263095e-05
13015.820  2.146088e-05
13015.830  2.053846e-05
13015.840  1.979799e-05
13015.850  1.919408e-05
13015.860  1.869463e-05
13015.870  1.827641e-05
13015.880  1.792233e-05
13015.890  1.761958e-05
13015.900  1.735838e-05
13015.910  1.713122e-05
13015.920  1.693221e-05
13015.930  1.675657e-05
13015.940  1.660085e-05
13015.950  1.646190e-05
13015.960  1.633728e-05
13015.970  1.622499e-05
13015.980  1.612338e-05
13015.990  1.603107e-05
13016.000  1.594691e-05
13016.010  1.586992e-05
13016.020  1.579929e-05
13016.030  1.573431e-05
13016.040  1.567437e-05
13016.050  1.561897e-05
13016.060  1.556765e-05
13016.070  1.552002e-05
13016.080  1.547576e-05
13016.090  1.543456e-05
13016.100  1.539616e-05
13016.110  1.536033e-05
13016.120  1.532688e-05
13016.130  1.589867e-05
13016.140  1.586993e-05
13016.150  1.584309e-05
13016.160  1.581803e-05
13016.170  1.579462e-05
13016.180  1.577277e-05
13016.190  1.575239e-05
13016.200  1.573340e-05
13016.210  1.571572e-05
13016.220  1.569929e-05
13016.230  1.568406e-05
13016.240  1.566996e-05
13016.250  1.565695e-05
13016.260  1.564499e-05
13016.270  1.563403e-05
13016.280  1.562405e-05
13016.290  1.561501e-05
13016.300  1.560688e-05
13016.310  1.559965e-05
13016.320  1.559328e-05
13016.330  1.558775e-05
13016.340  1.558306e-05
13016.350  1.557919e-05
13016.360  1.557613e-05
13016.370  1.557386e-05
13016.380  1.557238e-05
13016.390  1.557168e-05
13016.400  1.557177e-05
13016.410  1.557264e-05
13016.420  1.557430e-05
13016.430  1.557675e-05
13016.440  1.557999e-05
13016.450  1.558405e-05
13016.460  1.558892e-05
13016.470  1.559464e-05
13016.480  1.560121e-05
13016.490  1.560866e-05
13016.500  1.561703e-05
13016.510  1.562635e-05
13016.520  1.563664e-05
13016.530  1.564797e-05
13016.540  1.566038e-05
13016.550  1.567394e-05
13016.560  1.568871e-05
